QTY,INVOICENUMBER,ITEM_DESCRIPTION,MENUDESC
1,1276995,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276995,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276995,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276995,MIXED BAKLAVA EXTRA,TAKE AWAY
8,1276995,COTTON CANDY/PC,TAKE AWAY
4,1276995,EMPTY KAAK FREE,TAKE AWAY
0.6,1276995,MAFROUKEH PISTACHIO,TAKE AWAY
1,1276995,MAAMOUL WALNUT MINI,TAKE AWAY
1,1276995,MAAMOUL DATE MINI,TAKE AWAY
1,1276995,MAAMOUL DATE MINI,TAKE AWAY
1,1276995,MAAMOUL PISTACHIO MINI,TAKE AWAY
1,1276995,KNEFEH CHEESE + KASHTA,TAKE AWAY
1,1277011,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277016,MIXED BAKLAVA EXTRA,TAKE AWAY
4,1277016,LAHM B AAJIN SQUARE/PC,TAKE AWAY
5,1277016,Maamoul Date/PC,TAKE AWAY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,MIXED BAKLAVA EXTRA,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276926,TIN PACKAGE 1 KG,DELIVERY
1,1276930,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276935,MIXED BAKLAVA EXTRA,Call Center
1,1276935,MIXED BAKLAVA EXTRA,Call Center
1,1276935,N.B.,Call Center
1,1276935,N.B.,Call Center
1,1276935,DEL 1.0$,Call Center
1,1276936,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276936,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1276937,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277076,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277080,MIXED BAKLAVA EXTRA,TAKE AWAY
3.5,1277087,MIXED BAKLAVA EXTRA,TABLES
5,1277087,TIN PACKAGE 0.5 KG,TABLES
1,1277144,MIXED BAKLAVA EXTRA,DELIVERY
3.5,1277088,MIXED BAKLAVA EXTRA,TABLES
5,1277088,TIN PACKAGE 0.5 KG,TABLES
3.5,1277089,MIXED BAKLAVA EXTRA,TABLES
5,1277089,TIN PACKAGE 0.5 KG,TABLES
7.7,1277090,MIXED BAKLAVA EXTRA,TABLES
0.7,1277090,BAKLAVA CASHEW,TABLES
11,1277090,TIN PACKAGE 0.5 KG,TABLES
1,1277090,TIN PACKAGE 0.5 KG,TABLES
1,1277098,MIXED BAKLAVA EXTRA,DELIVERY
2.5,1277098,MIXED BAKLAVA EXTRA,DELIVERY
1,1277098,Kashta Aside,DELIVERY
1,1277098,MAFROUKEH,DELIVERY
1,1277098,MAAMOUL MINI MIXED,DELIVERY
0.5,1277108,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277108,MIXED BAKLAVA EXTRA,TAKE AWAY
5,1277108,COTTON CANDY/PC,TAKE AWAY
5,1277108,COTTON CANDY/PC,TAKE AWAY
2,1277108,KAAK KNEFEH CHEESE,TAKE AWAY
1,1277114,MIXED BAKLAVA EXTRA,DELIVERY
1,1277115,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277115,MAFROUKEH PISTACHIO,TAKE AWAY
0.7,1277122,MIXED BAKLAVA EXTRA,TABLES
1,1277122,TIN PACKAGE 0.5 KG,TABLES
1.5,1277035,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277045,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277062,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277062,NAMMOURA,TAKE AWAY
1,1277071,MIXED BAKLAVA EXTRA,DELIVERY
1,1277071,MIXED BAKLAVA EXTRA,DELIVERY
1,1277071,MIXED BAKLAVA EXTRA,DELIVERY
1,1277071,BARAZEK/PKT,DELIVERY
1,1277150,MIXED BAKLAVA EXTRA,DELIVERY
1,1277150,MIXED BAKLAVA EXTRA,DELIVERY
1,1277191,MIXED BAKLAVA EXTRA,DELIVERY
1,1277191,Kashta Aside,DELIVERY
1,1277191,MAFROUKEH,DELIVERY
1,1277191,MAAMOUL PISTACHIO MINI,DELIVERY
1,1277193,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277200,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277200,KNEFEH CHEESE,TAKE AWAY
5,1277200,EMPTY KAAK FREE,TAKE AWAY
5,1277200,EMPTY KAAK FREE,TAKE AWAY
1,1277200,Kashta Aside,TAKE AWAY
1,1277200,KNEFEH KASHTA,TAKE AWAY
1.25,1277200,WARD EL SHAM,TAKE AWAY
1,1277207,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277212,MIXED BAKLAVA EXTRA,DELIVERY
1,1277214,MIXED BAKLAVA EXTRA,DELIVERY
1,1277214,MIXED BAKLAVA EXTRA,DELIVERY
1,1277214,MIXED BAKLAVA EXTRA,DELIVERY
1,1277229,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277229,JAZARIYEH MAALOUFEH,TAKE AWAY
1,1277255,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277255,HALEWET EL JEBEN LAF,TAKE AWAY
1,1277360,MIXED BAKLAVA EXTRA,DELIVERY
1,1277360,HALEWET EL JEBEN PLAIN W/SUGAR SYRUP,DELIVERY
1,1277361,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277364,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277364,GIFT BAG CARTOON SMALL,TAKE AWAY
1.5,1277283,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1277283,MIXED BAKLAVA EXTRA,DELIVERY
1,1277283,TIN PACKAGE 1.5 KG,DELIVERY
1,1277283,TIN PACKAGE 1.5 KG,DELIVERY
2,1277304,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277304,STRAW,TAKE AWAY
2,1277304,KAAK KNEFEH CHEESE,TAKE AWAY
1,1277304,STRAW LARGE,TAKE AWAY
1,1277306,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277306,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277308,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277308,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277309,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277309,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277309,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277309,STRAW,TAKE AWAY
1,1277309,STRAW,TAKE AWAY
1,1277309,STRAW,TAKE AWAY
1,1277309,STRAW LARGE,TAKE AWAY
1,1277309,STRAW LARGE,TAKE AWAY
1,1277309,STRAW LARGE,TAKE AWAY
0.5,1277311,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277313,MIXED BAKLAVA EXTRA,DELIVERY
1,1277313,MIXED BAKLAVA EXTRA,DELIVERY
1,1277313,MIXED BAKLAVA EXTRA,DELIVERY
1,1277313,BAKLAVA CASHEW,DELIVERY
1,1277313,BAKLAVA CASHEW,DELIVERY
1,1277367,MIXED BAKLAVA EXTRA,DELIVERY
1,1277367,MAFROUKEH,DELIVERY
0.5,1277387,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277387,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277387,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277387,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277388,MIXED BAKLAVA EXTRA,DELIVERY
1,1277388,MIXED BAKLAVA EXTRA,DELIVERY
1,1277388,MIXED BAKLAVA EXTRA,DELIVERY
1,1277388,COTTON CANDY/ PKT LARGE,DELIVERY
1,1277331,MIXED BAKLAVA EXTRA,DELIVERY
1,1277331,MIXED BAKLAVA EXTRA,DELIVERY
1,1277332,MIXED BAKLAVA EXTRA,TABLES
1,1277332,TIN PACKAGE 1 KG,TABLES
3,1277332,MAFROUKEH ALMOND + PISTACHIO/PLT,TABLES
0.7,1277332,BAKLAVA CASHEW,TABLES
1,1277332,TIN PACKAGE 0.5 KG,TABLES
1,1277264,MIXED BAKLAVA EXTRA,DELIVERY
1,1277264,Kashta Aside,DELIVERY
0.5,1277264,MAFROUKEH,DELIVERY
1,1277264,MAFROUKEH TA/PLT,DELIVERY
1,1277339,MIXED BAKLAVA EXTRA,Call Center
1,1277339,MIXED BAKLAVA EXTRA,Call Center
1,1277339,MAAMOUL MINI MIXED,Call Center
1,1277339,MAAMOUL MINI MIXED,Call Center
1,1277339,DEL 2.0$,Call Center
1,1277339,SAFAR,Call Center
1,1277339,SAFAR,Call Center
1,1277341,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277497,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277525,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277393,MIXED BAKLAVA EXTRA,DELIVERY
1,1277393,MIXED BAKLAVA EXTRA,DELIVERY
1,1277393,MIXED BAKLAVA EXTRA,DELIVERY
12,1277393,COTTON CANDY/PC,DELIVERY
1,1277393,MAAMOUL WALNUT MINI,DELIVERY
1,1277393,MAAMOUL DATE MINI,DELIVERY
2,1277393,Maamoul Date/PC,DELIVERY
9,1277393,MAAMOUL PISTACHIO/PC,DELIVERY
1,1277410,MIXED BAKLAVA EXTRA,TABLES
1,1277410,MIXED BAKLAVA EXTRA,TABLES
2,1277410,LAHM B AAJIN/PLT,TABLES
1,1277417,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277417,ASABEH,TAKE AWAY
1,1277418,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277425,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277425,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277427,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277427,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277427,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277429,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277437,MIXED BAKLAVA EXTRA,DELIVERY
1,1277437,DEL 2.0$,DELIVERY
1,1277444,MIXED BAKLAVA EXTRA,DELIVERY
1,1277444,MIXED BAKLAVA EXTRA,DELIVERY
1,1277444,MIXED BAKLAVA EXTRA,DELIVERY
1,1277444,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277444,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277444,BELLAWRIYEH,DELIVERY
1,1277449,MIXED BAKLAVA EXTRA,DELIVERY
1,1277449,KARBOUJ MAD PISTACHIO,DELIVERY
1,1277449,KARBOUJ MAD PISTACHIO,DELIVERY
1,1277449,KARBOUJ MAD PISTACHIO,DELIVERY
1,1277449,MAAMOUL PISTACHIO MINI,DELIVERY
1,1277454,MIXED BAKLAVA EXTRA,DELIVERY
1,1277454,MIXED BAKLAVA EXTRA,DELIVERY
1,1277454,MAAMOUL PISTACHIO MINI,DELIVERY
12,1277454,MAAMOUL WALNUT/PC,DELIVERY
1,1277457,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277463,MIXED BAKLAVA EXTRA,TAKE AWAY
5,1277472,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277472,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277472,MIXED BAKLAVA EXTRA,DELIVERY
1,1277472,Kashta Aside,DELIVERY
1,1277472,Kashta Aside,DELIVERY
0.5,1277472,MAFROUKEH,DELIVERY
0.5,1277472,MAFROUKEH,DELIVERY
0.909,1277605,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277622,MIXED BAKLAVA EXTRA,DELIVERY
1,1277622,MIXED BAKLAVA EXTRA,DELIVERY
3,1277622,LAHM B AAJIN SQUARE/PC,DELIVERY
1,1277625,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277625,TIN PACKAGE 1 KG,TAKE AWAY
1.5,1277532,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277532,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277532,MIX BAKLAVA/SMALL /TIN,TAKE AWAY
1,1277532,TIN PACKAGE 1.5 KG,TAKE AWAY
1,1277532,TIN PACKAGE 1.5 KG,TAKE AWAY
1,1277189,MIXED BAKLAVA EXTRA,DELIVERY
1,1277189,MIXED BAKLAVA EXTRA,DELIVERY
1,1277189,TIN PACKAGE 1 KG,DELIVERY
1,1277189,TIN PACKAGE 1 KG,DELIVERY
1,1277189,TIN PACKAGE 1 KG,DELIVERY
1,1277189,KOL W SHKOR PISTACHIO,DELIVERY
1,1277535,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277535,TIN PACKAGE 1 KG,TAKE AWAY
1.5,1277537,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277545,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277545,MIXED BAKLAVA EXTRA,TAKE AWAY
3,1277551,MIXED BAKLAVA EXTRA,TAKE AWAY
3,1277551,TIN PACKAGE 1 KG,TAKE AWAY
1,1277551,TIN PACKAGE 1 KG,TAKE AWAY
1,1277551,BAKLAVA CASHEW,TAKE AWAY
1,1277556,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277556,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277556,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277556,MAAMOUL PISTACHIO MINI,TAKE AWAY
1,1277556,MAAMOUL PISTACHIO MINI,TAKE AWAY
1,1277562,MIXED BAKLAVA EXTRA,TAKE AWAY
4,1277562,EMPTY KAAK FREE,TAKE AWAY
1,1277562,KNEFEH CHEESE + KASHTA,TAKE AWAY
1.5,1277569,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277574,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277578,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277578,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277578,BAKLAVA CASHEW,TAKE AWAY
1,1277578,BAKLAVA CASHEW,TAKE AWAY
1,1277578,COTTON CANDY/ PKT LARGE,TAKE AWAY
1,1277585,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277585,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277585,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277585,MIXED BAKLAVA SUGAR FREE,TAKE AWAY
4,1277585,COTTON CANDY/ PKT LARGE,TAKE AWAY
1,1277587,MIXED BAKLAVA EXTRA,DELIVERY
1,1277587,MIXED BAKLAVA EXTRA,DELIVERY
1,1277587,MIXED BAKLAVA EXTRA,DELIVERY
4,1277587,KNEFEH KASHTA/PLT,DELIVERY
1,1277658,MIXED BAKLAVA EXTRA,TAKE AWAY
4,1277658,KAAK KNEFEH CHEESE,TAKE AWAY
1.5,1277661,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1277661,MIXED BAKLAVA EXTRA,DELIVERY
1,1277661,SAFAR BAG 206,DELIVERY
1,1277661,SAFAR BAG 206,DELIVERY
1,1277665,MIXED BAKLAVA EXTRA,DELIVERY
1,1277665,MIXED BAKLAVA EXTRA,DELIVERY
1,1277666,MIXED BAKLAVA EXTRA,DELIVERY
1,1277666,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1277688,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277689,MIXED BAKLAVA EXTRA,DELIVERY
1,1277690,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277692,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277692,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277699,MIXED BAKLAVA EXTRA,TABLES
1,1277699,MIXED BAKLAVA EXTRA,TABLES
1,1277699,MCHAKAL KASHTA/PLT,TABLES
1,1277699,ZNOUD EL SET/PLT,TABLES
1,1277699,TIN PACKAGE 1 KG,TABLES
1,1277699,TIN PACKAGE 1 KG,TABLES
1.5,1277699,ASABEH,TABLES
1,1277699,TIN PACKAGE 1.5 KG,TABLES
2,1277700,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277704,MIXED BAKLAVA EXTRA,DELIVERY
1,1277704,MIXED BAKLAVA EXTRA,DELIVERY
7.5,1277704,EMPTY KAAK FREE,DELIVERY
1,1277704,LAHM B AJIN DOZEN,DELIVERY
1.5,1277704,KNEFEH KASHTA,DELIVERY
2,1277704,MIXED BAKLAVA REGULAR,DELIVERY
2,1277712,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277712,MIXED BAKLAVA EXTRA,TAKE AWAY
11,1277716,MIXED BAKLAVA EXTRA,DELIVERY
6,1277716,COTTON CANDY/PC,DELIVERY
6,1277716,COTTON CANDY/PC,DELIVERY
1.8,1277716,MAAMOUL MAD WALNUT,DELIVERY
1,1277716,MAAMOUL DATE + PISTACHIO MINI,DELIVERY
2.7,1277716,MAAMOUL MAD PISTACHIO,DELIVERY
6,1277716,NATEF/SMALL PKT,DELIVERY
2,1277714,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277760,MIXED BAKLAVA EXTRA,DELIVERY
1,1277760,MIXED BAKLAVA EXTRA,DELIVERY
1,1277760,MIXED BAKLAVA EXTRA,DELIVERY
1,1277760,MIXED BAKLAVA EXTRA,DELIVERY
1,1277760,HALEWET EL JEBEN,DELIVERY
0.5,1277760,NAMMOURA,DELIVERY
1,1277760,PETIT FOUR EXTRA LARGE/PKT,DELIVERY
1,1277764,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277765,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277765,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277765,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277766,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277767,MIXED BAKLAVA EXTRA,DELIVERY
1,1277767,MIXED BAKLAVA EXTRA,DELIVERY
1,1277772,MIXED BAKLAVA EXTRA,DELIVERY
5,1277773,MIXED BAKLAVA EXTRA,DELIVERY
1,1277779,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277780,MIXED BAKLAVA EXTRA,DELIVERY
1.4,1277786,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277786,MAAMOUL MINI MIXED,TAKE AWAY
4,1277786,MAAMOUL WALNUT/PC,TAKE AWAY
2,1277786,TIN PACKAGE 0.5 KG,TAKE AWAY
1,1277790,MIXED BAKLAVA EXTRA,TAKE AWAY
3,1277790,KAAK KNEFEH CHEESE,TAKE AWAY
0.5,1277801,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277811,MIXED BAKLAVA EXTRA,DELIVERY
1,1277811,MIXED BAKLAVA EXTRA,DELIVERY
4,1277811,COTTON CANDY/PC,DELIVERY
1,1277811,COTTON CANDY/ PKT SMALL,DELIVERY
1,1277811,COTTON CANDY/ PKT SMALL,DELIVERY
1,1277812,MIXED BAKLAVA EXTRA,DELIVERY
1,1277812,MIXED BAKLAVA EXTRA,DELIVERY
1,1277812,MIXED BAKLAVA EXTRA,DELIVERY
2,1277812,MAAMOUL KASHTA PISTACHIO,DELIVERY
1,1277735,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277737,MIXED BAKLAVA EXTRA,DELIVERY
1,1277737,TIN PACKAGE 1 KG,DELIVERY
1,1277737,MAAMOUL DATE MINI,DELIVERY
1,1277737,MAAMOUL PISTACHIO MINI,DELIVERY
1,1277751,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1277890,MIXED BAKLAVA EXTRA,DELIVERY
2,1277890,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1277898,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277898,TIN PACKAGE 1.5 KG,TAKE AWAY
1,1277921,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1277815,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277815,KAAK KNEFEH CHEESE,TAKE AWAY
1,1277935,MIXED BAKLAVA EXTRA,DELIVERY
1,1277935,MIXED BAKLAVA EXTRA,DELIVERY
2,1277828,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1277828,STRAW,TAKE AWAY
1,1277828,LAHM B AJIN DOZEN,TAKE AWAY
1,1277828,LAHM B AJIN DOZEN,TAKE AWAY
1,1277828,STRAW LARGE,TAKE AWAY
1.5,1277848,MIXED BAKLAVA EXTRA,TABLES
1.5,1277848,MIXED BAKLAVA EXTRA,TABLES
3,1277848,MCHAKAL KASHTA/PLT,TABLES
0.5,1277848,LAHM B AAJIN/PLT,TABLES
0.5,1277848,LAHM B AAJIN/PLT,TABLES
0.5,1277848,LAHM B AAJIN/PLT,TABLES
1,1277848,GIFT BAG CARTOON MEDIUM,TABLES
1,1277848,GIFT BAG CARTOON MEDIUM,TABLES
1,1277848,TIN PACKAGE 1.5 KG,TABLES
1,1277848,TIN PACKAGE 1.5 KG,TABLES
2,1277854,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1277861,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278074,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278074,BAKLAVA CASHEW,TAKE AWAY
0.4,1278074,HALEWET EL REZ CHEESE,TAKE AWAY
1,1278074,HALEWEH LAF TA/PLT,TAKE AWAY
1,1278074,HALEWEH LAF TA/PLT,TAKE AWAY
2,1277988,MIXED BAKLAVA EXTRA,Call Center
1,1277988,Round Crystal Tray ,Call Center
1,1277988,N.B.,Call Center
1,1277989,MIXED BAKLAVA EXTRA,DELIVERY
5,1278001,MIXED BAKLAVA EXTRA,DELIVERY
2,1278002,MIXED BAKLAVA EXTRA,TAKE AWAY
20,1278012,MIXED BAKLAVA EXTRA,DELIVERY
20,1278012,TIN PACKAGE 1 KG,DELIVERY
2,1278032,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278032,TIN PACKAGE 2 KG,TAKE AWAY
1,1278034,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278034,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278034,Kashta Aside,TAKE AWAY
1,1278034,MAFROUKEH,TAKE AWAY
1,1278033,MIXED BAKLAVA EXTRA,DELIVERY
1,1278033,MIXED BAKLAVA EXTRA,DELIVERY
1,1278033,Kashta Aside,DELIVERY
1,1278033,MAFROUKEH,DELIVERY
0.5,1278038,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278058,MIXED BAKLAVA EXTRA,TAKE AWAY
0.5,1278058,KNEFEH CHEESE,TAKE AWAY
2.5,1278058,EMPTY KAAK FREE,TAKE AWAY
2.5,1278058,EMPTY KAAK FREE,TAKE AWAY
0.5,1278058,KNEFEH KASHTA,TAKE AWAY
1,1277942,MIXED BAKLAVA EXTRA,DELIVERY
1,1277942,MIXED BAKLAVA EXTRA,DELIVERY
1,1277942,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1277974,MIXED BAKLAVA EXTRA,DELIVERY
1.5,1277974,MIXED BAKLAVA EXTRA,DELIVERY
0.9,1277974,MIXED BAKLAVA REGULAR,DELIVERY
0.1,1277974,BASMA PIST,DELIVERY
1,1278065,MIXED BAKLAVA EXTRA,TABLES
1,1278068,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278068,TIN PACKAGE 1 KG,TAKE AWAY
1,1278068,ICE CREAM 2 SCOOP,TAKE AWAY
1,1278068,Ice Cream 1 Scoop ,TAKE AWAY
0.5,1278068,MAAMOUL MINI MIXED,TAKE AWAY
0.5,1278068,QUARTER PISTACHIO,TAKE AWAY
0.5,1278069,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278070,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278139,MIXED BAKLAVA EXTRA,TABLES
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278143,Kashta Aside,TAKE AWAY
0.444,1278143,MAFROUKEH,TAKE AWAY
1,1278079,MIXED BAKLAVA EXTRA,DELIVERY
2,1278079,LAHM B AAJIN/PLT,DELIVERY
1,1278079,LAHM B AJIN DOZEN,DELIVERY
1,1278089,MIXED BAKLAVA EXTRA,DELIVERY
1,1278089,MIXED BAKLAVA EXTRA,DELIVERY
1,1278089,Kashta Aside,DELIVERY
1,1278089,Kashta Aside,DELIVERY
1,1278089,MAFROUKEH,DELIVERY
1,1278089,MAFROUKEH,DELIVERY
0.5,1278098,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278098,ICE CREAM 2 SCOOP,TAKE AWAY
1,1278098,PETIT FOUR MIX SMALL/PKT,TAKE AWAY
1,1278098,KNEFEH CHEESE/PLT TA,TAKE AWAY
1.5,1278146,MIXED BAKLAVA EXTRA,TABLES
1,1278146,MIXED BAKLAVA EXTRA,TABLES
1,1278146,MIXED BAKLAVA EXTRA,TABLES
1,1278146,MIXED BAKLAVA EXTRA,TABLES
2,1278146,ZNOUD EL SET/PLT,TABLES
0.5,1278158,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278159,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278163,MIXED BAKLAVA EXTRA,TABLES
1,1278163,KNEFEH KASHTA/PLT,TABLES
1,1278163,LAHM B AAJIN/PLT,TABLES
1,1278163,LAHM B AAJIN/PLT,TABLES
1,1278163,LAHM B AJIN DOZEN,TABLES
1,1278163,LABAN AYRAN/250ML,TABLES
1,1278163,LABAN AYRAN/250ML,TABLES
2,1278166,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278169,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1278171,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278171,WARD EL SHAM/PLT,TAKE AWAY
2,1278171,LAHM B AAJIN SQUARE/PC,TAKE AWAY
2,1278175,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278102,MIXED BAKLAVA EXTRA,DELIVERY
1,1278102,MIXED BAKLAVA EXTRA,DELIVERY
1,1278117,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278117,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278117,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1278127,MIXED BAKLAVA EXTRA,DELIVERY
1,1278134,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278134,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1278283,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278283,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278310,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1278310,MIXED BAKLAVA EXTRA,DELIVERY
0.5,1278310,MIXED BAKLAVA EXTRA,DELIVERY
1,1278319,MIXED BAKLAVA EXTRA,TAKE AWAY
1.5,1278191,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278216,MIXED BAKLAVA EXTRA,DELIVERY
12,1278216,MAAMOUL WALNUT/PC,DELIVERY
1,1278225,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1278253,MIXED BAKLAVA EXTRA,TAKE AWAY
1,1278262,MIXED BAKLAVA EXTRA,TAKE AWAY
2,1278262,EMPTY KAAK FREE,TAKE AWAY
0.5,1278262,MAFROUKEH,TAKE AWAY
0.5,1278262,KNEFEH CHEESE + KASHTA,TAKE AWAY
